,sentences,paragraph
816,"“However, I don’t believe it.”",378
817,“Why not?”,379
818,"“I don’t know,” she insisted, “I just don’t think he went there.”",380
819,"Something in her tone reminded me of the other girl’s “I think he
killed a man,” and had the effect of stimulating my curiosity.",381
820,"I would
have accepted without question the information that Gatsby sprang from
the swamps of Louisiana or from the lower East Side of New York.",381
821,"That
was comprehensible.",381
822,"But young men didn’t—at least in my provincial
inexperience I believed they didn’t—drift coolly out of nowhere and
buy a palace on Long Island Sound.",381
823,"“Anyhow, he gives large parties,” said Jordan, changing the subject
with an urban distaste for the concrete.",382
824,“And I like large parties.,382
825,They’re so intimate.,382
826,At small parties there isn’t any privacy.”,382
827,"There was the boom of a bass drum, and the voice of the orchestra
leader rang out suddenly above the echolalia of the garden.",383
828,"“Ladies and gentlemen,” he cried.",384
829,"“At the request of Mr. Gatsby we are
going to play for you Mr. Vladmir Tostoff’s latest work, which
attracted so much attention at Carnegie Hall last May.",384
830,"If you read the
papers you know there was a big sensation.” He smiled with jovial
condescension, and added: “Some sensation!” Whereupon everybody
laughed.",384
831,"“The piece is known,” he concluded lustily, “as ‘Vladmir Tostoff’s
Jazz History of the World!’ ”",385
832,"The nature of Mr. Tostoff’s composition eluded me, because just as it
began my eyes fell on Gatsby, standing alone on the marble steps and
looking from one group to another with approving eyes.",386
833,"His tanned skin
was drawn attractively tight on his face and his short hair looked as
though it were trimmed every day.",386
834,"I could see nothing sinister about
him.",386
835,"I wondered if the fact that he was not drinking helped to set him
off from his guests, for it seemed to me that he grew more correct as
the fraternal hilarity increased.",386
836,"When the “Jazz History of the World”
was over, girls were putting their heads on men’s shoulders in a
puppyish, convivial way, girls were swooning backward playfully into
men’s arms, even into groups, knowing that someone would arrest their
falls—but no one swooned backward on Gatsby, and no French bob touched
Gatsby’s shoulder, and no singing quartets were formed with Gatsby’s
head for one link.",386
837,“I beg your pardon.”,387
838,Gatsby’s butler was suddenly standing beside us.,388
839,“Miss Baker?” he inquired.,389
840,"“I beg your pardon, but Mr. Gatsby would
like to speak to you alone.”",389
841,“With me?” she exclaimed in surprise.,390
842,"“Yes, madame.”",391
843,"She got up slowly, raising her eyebrows at me in astonishment, and
followed the butler toward the house.",392
844,"I noticed that she wore her
evening-dress, all her dresses, like sports clothes—there was a
jauntiness about her movements as if she had first learned to walk
upon golf courses on clean, crisp mornings.",392
845,I was alone and it was almost two.,393
846,"For some time confused and
intriguing sounds had issued from a long, many-windowed room which
overhung the terrace.",393
847,"Eluding Jordan’s undergraduate, who was now
engaged in an obstetrical conversation with two chorus girls, and who
implored me to join him, I went inside.",393
848,The large room was full of people.,394
849,"One of the girls in yellow was
playing the piano, and beside her stood a tall, red-haired young lady
from a famous chorus, engaged in song.",394
850,"She had drunk a quantity of
champagne, and during the course of her song she had decided, ineptly,
that everything was very, very sad—she was not only singing, she was
weeping too.",394
851,"Whenever there was a pause in the song she filled it with
gasping, broken sobs, and then took up the lyric again in a quavering
soprano.",394
852,"The tears coursed down her cheeks—not freely, however, for
when they came into contact with her heavily beaded eyelashes they
assumed an inky colour, and pursued the rest of their way in slow
black rivulets.",394
853,"A humorous suggestion was made that she sing the notes
on her face, whereupon she threw up her hands, sank into a chair, and
went off into a deep vinous sleep.",394
854,"“She had a fight with a man who says he’s her husband,” explained a
girl at my elbow.",395
855,I looked around.,396
856,"Most of the remaining women were now having fights
with men said to be their husbands.",396
857,"Even Jordan’s party, the quartet
from East Egg, were rent asunder by dissension.",396
858,"One of the men was
talking with curious intensity to a young actress, and his wife, after
attempting to laugh at the situation in a dignified and indifferent
way, broke down entirely and resorted to flank attacks—at intervals
she appeared suddenly at his side like an angry diamond, and hissed:
“You promised!” into his ear.",396
859,The reluctance to go home was not confined to wayward men.,397
860,"The hall
was at present occupied by two deplorably sober men and their highly
indignant wives.",397
861,"The wives were sympathizing with each other in
slightly raised voices.",397
862,“Whenever he sees I’m having a good time he wants to go home.”,398
863,“Never heard anything so selfish in my life.”,399
864,“We’re always the first ones to leave.”,400
865,“So are we.”,401
866,"“Well, we’re almost the last tonight,” said one of the men sheepishly.",402
867,“The orchestra left half an hour ago.”,402
868,"In spite of the wives’ agreement that such malevolence was beyond
credibility, the dispute ended in a short struggle, and both wives
were lifted, kicking, into the night.",403
869,"As I waited for my hat in the hall the door of the library opened and
Jordan Baker and Gatsby came out together.",404
870,"He was saying some last
word to her, but the eagerness in his manner tightened abruptly into
formality as several people approached him to say goodbye.",404
871,"Jordan’s party were calling impatiently to her from the porch, but she
lingered for a moment to shake hands.",405
872,"“I’ve just heard the most amazing thing,” she whispered.",406
873,"“How long
were we in there?”",406
874,"“Why, about an hour.”",407
875,"“It was … simply amazing,” she repeated abstractedly.",408
876,"“But I swore I
wouldn’t tell it and here I am tantalizing you.” She yawned gracefully
in my face.",408
877,"“Please come and see me … Phone book … Under the name of
Mrs. Sigourney Howard … My aunt …” She was hurrying off as she
talked—her brown hand waved a jaunty salute as she melted into her
party at the door.",408
878,"Rather ashamed that on my first appearance I had stayed so late, I
joined the last of Gatsby’s guests, who were clustered around him.",409
879,"I
wanted to explain that I’d hunted for him early in the evening and to
apologize for not having known him in the garden.",409
880,"“Don’t mention it,” he enjoined me eagerly.",410
881,"“Don’t give it another
thought, old sport.” The familiar expression held no more familiarity
than the hand which reassuringly brushed my shoulder.",410
882,"“And don’t
forget we’re going up in the hydroplane tomorrow morning, at nine
o’clock.”",410
883,"Then the butler, behind his shoulder:",411
884,"“Philadelphia wants you on the phone, sir.”",412
885,"“All right, in a minute.",413
886,Tell them I’ll be right there … Good night.”,413
887,“Good night.”,414
888,"“Good night.” He smiled—and suddenly there seemed to be a pleasant
significance in having been among the last to go, as if he had desired
it all the time.",415
889,"“Good night, old sport … Good night.”",415
890,"But as I walked down the steps I saw that the evening was not quite
over.",416
891,"Fifty feet from the door a dozen headlights illuminated a
bizarre and tumultuous scene.",416
892,"In the ditch beside the road, right side
up, but violently shorn of one wheel, rested a new coupé which had
left Gatsby’s drive not two minutes before.",416
893,"The sharp jut of a wall
accounted for the detachment of the wheel, which was now getting
considerable attention from half a dozen curious chauffeurs.",416
894,"However,
as they had left their cars blocking the road, a harsh, discordant din
from those in the rear had been audible for some time, and added to
the already violent confusion of the scene.",416
895,"A man in a long duster had dismounted from the wreck and now stood in
the middle of the road, looking from the car to the tyre and from the
tyre to the observers in a pleasant, puzzled way.",417
896,“See!” he explained.,418
897,“It went in the ditch.”,418
898,"The fact was infinitely astonishing to him, and I recognized first the
unusual quality of wonder, and then the man—it was the late patron of
Gatsby’s library.",419
899,“How’d it happen?”,420
900,He shrugged his shoulders.,421
901,"“I know nothing whatever about mechanics,” he said decisively.",422
902,“But how did it happen?,423
903,Did you run into the wall?”,423
904,"“Don’t ask me,” said Owl Eyes, washing his hands of the whole
matter.",424
905,“I know very little about driving—next to nothing.,424
906,"It
happened, and that’s all I know.”",424
907,"“Well, if you’re a poor driver you oughtn’t to try driving at night.”",425
908,"“But I wasn’t even trying,” he explained indignantly, “I wasn’t even
trying.”",426
909,An awed hush fell upon the bystanders.,427
910,“Do you want to commit suicide?”,428
911,“You’re lucky it was just a wheel!,429
912,A bad driver and not even trying!”,429
913,"“You don’t understand,” explained the criminal.",430
914,“I wasn’t driving.,430
915,There’s another man in the car.”,430
916,"The shock that followed this declaration found voice in a sustained
“Ah-h-h!” as the door of the coupé swung slowly open.",431
917,"The crowd—it was
now a crowd—stepped back involuntarily, and when the door had opened
wide there was a ghostly pause.",431
918,"Then, very gradually, part by part, a
pale, dangling individual stepped out of the wreck, pawing tentatively
at the ground with a large uncertain dancing shoe.",431
919,"Blinded by the glare of the headlights and confused by the incessant
groaning of the horns, the apparition stood swaying for a moment
before he perceived the man in the duster.",432
920,“Wha’s matter?” he inquired calmly.,433
921,“Did we run outa gas?”,433
922,“Look!”,434
923,"Half a dozen fingers pointed at the amputated wheel—he stared at it
for a moment, and then looked upward as though he suspected that it
had dropped from the sky.",435
924,"“It came off,” someone explained.",436
925,He nodded.,437
926,“At first I din’ notice we’d stopped.”,438
927,A pause.,439
928,"Then, taking a long breath and straightening his shoulders,
he remarked in a determined voice:",439
929,“Wonder’ff tell me where there’s a gas’line station?”,440
930,"At least a dozen men, some of them a little better off than he was,
explained to him that wheel and car were no longer joined by any
physical bond.",441
931,"“Back out,” he suggested after a moment.",442
932,“Put her in reverse.”,442
933,“But the wheel’s off!”,443
934,He hesitated.,444
935,"“No harm in trying,” he said.",445
936,"The caterwauling horns had reached a crescendo and I turned away and
cut across the lawn toward home.",446
937,I glanced back once.,446
938,"A wafer of a
moon was shining over Gatsby’s house, making the night fine as before,
and surviving the laughter and the sound of his still glowing garden.",446
939,"A sudden emptiness seemed to flow now from the windows and the great
doors, endowing with complete isolation the figure of the host, who
stood on the porch, his hand up in a formal gesture of farewell.",446
940,"Reading over what I have written so far, I see I have given the
impression that the events of three nights several weeks apart were
all that absorbed me.",448
941,"On the contrary, they were merely casual events
in a crowded summer, and, until much later, they absorbed me
infinitely less than my personal affairs.",448
942,Most of the time I worked.,449
943,"In the early morning the sun threw my
shadow westward as I hurried down the white chasms of lower New York
to the Probity Trust.",449
944,"I knew the other clerks and young bond-salesmen
by their first names, and lunched with them in dark, crowded
restaurants on little pig sausages and mashed potatoes and coffee.",449
945,"I
even had a short affair with a girl who lived in Jersey City and
worked in the accounting department, but her brother began throwing
mean looks in my direction, so when she went on her vacation in July I
let it blow quietly away.",449
946,"I took dinner usually at the Yale Club—for some reason it was the
gloomiest event of my day—and then I went upstairs to the library and
studied investments and securities for a conscientious hour.",450
947,"There
were generally a few rioters around, but they never came into the
library, so it was a good place to work.",450
948,"After that, if the night was
mellow, I strolled down Madison Avenue past the old Murray Hill Hotel,
and over 33rd Street to the Pennsylvania Station.",450
949,"I began to like New York, the racy, adventurous feel of it at night,
and the satisfaction that the constant flicker of men and women and
machines gives to the restless eye.",451
950,"I liked to walk up Fifth Avenue
and pick out romantic women from the crowd and imagine that in a few
minutes I was going to enter into their lives, and no one would ever
know or disapprove.",451
951,"Sometimes, in my mind, I followed them to their
apartments on the corners of hidden streets, and they turned and
smiled back at me before they faded through a door into warm
darkness.",451
952,"At the enchanted metropolitan twilight I felt a haunting
loneliness sometimes, and felt it in others—poor young clerks who
loitered in front of windows waiting until it was time for a solitary
restaurant dinner—young clerks in the dusk, wasting the most poignant
moments of night and life.",451
953,"Again at eight o’clock, when the dark lanes of the Forties were lined
five deep with throbbing taxicabs, bound for the theatre district, I
felt a sinking in my heart.",452
954,"Forms leaned together in the taxis as they
waited, and voices sang, and there was laughter from unheard jokes,
and lighted cigarettes made unintelligible circles inside.",452
955,"Imagining
that I, too, was hurrying towards gaiety and sharing their intimate
excitement, I wished them well.",452
956,"For a while I lost sight of Jordan Baker, and then in midsummer I
found her again.",453
957,"At first I was flattered to go places with her,
because she was a golf champion, and everyone knew her name.",453
958,"Then it
was something more.",453
959,"I wasn’t actually in love, but I felt a sort of
tender curiosity.",453
960,"The bored haughty face that she turned to the world
concealed something—most affectations conceal something eventually,
even though they don’t in the beginning—and one day I found what it
was.",453
961,"When we were on a house-party together up in Warwick, she left a
borrowed car out in the rain with the top down, and then lied about
it—and suddenly I remembered the story about her that had eluded me
that night at Daisy’s.",453
962,"At her first big golf tournament there was a
row that nearly reached the newspapers—a suggestion that she had moved
her ball from a bad lie in the semifinal round.",453
963,"The thing approached
the proportions of a scandal—then died away.",453
964,"A caddy retracted his
statement, and the only other witness admitted that he might have been
mistaken.",453
965,The incident and the name had remained together in my mind.,453
966,"Jordan Baker instinctively avoided clever, shrewd men, and now I saw
that this was because she felt safer on a plane where any divergence
from a code would be thought impossible.",454
967,She was incurably dishonest.,454
968,"She wasn’t able to endure being at a disadvantage and, given this
unwillingness, I suppose she had begun dealing in subterfuges when she
was very young in order to keep that cool, insolent smile turned to
the world and yet satisfy the demands of her hard, jaunty body.",454
969,It made no difference to me.,455
970,"Dishonesty in a woman is a thing you
never blame deeply—I was casually sorry, and then I forgot.",455
971,"It was on
that same house-party that we had a curious conversation about driving
a car.",455
972,"It started because she passed so close to some workmen that our
fender flicked a button on one man’s coat.",455
973,"“You’re a rotten driver,” I protested.",456
974,"“Either you ought to be more
careful, or you oughtn’t to drive at all.”",456
975,“I am careful.”,457
976,"“No, you’re not.”",458
977,"“Well, other people are,” she said lightly.",459
978,“What’s that got to do with it?”,460
979,"“They’ll keep out of my way,” she insisted.",461
980,"“It takes two to make an
accident.”",461
981,“Suppose you met somebody just as careless as yourself.”,462
982,"“I hope I never will,” she answered.",463
983,“I hate careless people.,463
984,"That’s
why I like you.”",463
985,"Her grey, sun-strained eyes stared straight ahead, but she had
deliberately shifted our relations, and for a moment I thought I loved
her.",464
986,"But I am slow-thinking and full of interior rules that act as
brakes on my desires, and I knew that first I had to get myself
definitely out of that tangle back home.",464
987,"I’d been writing letters once
a week and signing them: “Love, Nick,” and all I could think of was
how, when that certain girl played tennis, a faint moustache of
perspiration appeared on her upper lip.",464
988,"Nevertheless there was a vague
understanding that had to be tactfully broken off before I was free.",464
989,"Everyone suspects himself of at least one of the cardinal virtues, and
this is mine: I am one of the few honest people that I have ever
known.",465
990,"
                                  IV",466
991,"On Sunday morning while church bells rang in the villages alongshore,
the world and its mistress returned to Gatsby’s house and twinkled
hilariously on his lawn.",467
992,"“He’s a bootlegger,” said the young ladies, moving somewhere between
his cocktails and his flowers.",468
993,"“One time he killed a man who had found
out that he was nephew to Von Hindenburg and second cousin to the
devil.",468
994,"Reach me a rose, honey, and pour me a last drop into that there
crystal glass.”",468
995,"Once I wrote down on the empty spaces of a timetable the names of
those who came to Gatsby’s house that summer.",469
996,"It is an old timetable
now, disintegrating at its folds, and headed “This schedule in effect
July 5th, 1922.” But I can still read the grey names, and they will
give you a better impression than my generalities of those who
accepted Gatsby’s hospitality and paid him the subtle tribute of
knowing nothing whatever about him.",469
997,"From East Egg, then, came the Chester Beckers and the Leeches, and a
man named Bunsen, whom I knew at Yale, and Doctor Webster Civet, who
was drowned last summer up in Maine.",470
998,"And the Hornbeams and the Willie
Voltaires, and a whole clan named Blackbuck, who always gathered in a
corner and flipped up their noses like goats at whosoever came
near.",470
999,"And the Ismays and the Chrysties (or rather Hubert Auerbach and
Mr. Chrystie’s wife), and Edgar Beaver, whose hair, they say, turned
cotton-white one winter afternoon for no good reason at all.",470
1000,"Clarence Endive was from East Egg, as I remember.",471
1001,"He came only once,
in white knickerbockers, and had a fight with a bum named Etty in the
garden.",471
1002,"From farther out on the Island came the Cheadles and the O.
R. P. Schraeders, and the Stonewall Jackson Abrams of Georgia, and the
Fishguards and the Ripley Snells.",471
1003,"Snell was there three days before he
went to the penitentiary, so drunk out on the gravel drive that
Mrs. Ulysses Swett’s automobile ran over his right hand.",471
1004,"The Dancies
came, too, and S. B. Whitebait, who was well over sixty, and Maurice
A. Flink, and the Hammerheads, and Beluga the tobacco importer, and
Beluga’s girls.",471
1005,"From West Egg came the Poles and the Mulreadys and Cecil Roebuck and
Cecil Schoen and Gulick the State senator and Newton Orchid, who
controlled Films Par Excellence, and Eckhaust and Clyde Cohen and Don
S. Schwartz (the son) and Arthur McCarty, all connected with the
movies in one way or another.",472
1006,"And the Catlips and the Bembergs and G.
Earl Muldoon, brother to that Muldoon who afterward strangled his
wife.",472
1007,"Da Fontano the promoter came there, and Ed Legros and James B.",472
1008,"(“Rot-Gut”) Ferret and the De Jongs and Ernest Lilly—they came to
gamble, and when Ferret wandered into the garden it meant he was
cleaned out and Associated Traction would have to fluctuate profitably
next day.",472
1009,"A man named Klipspringer was there so often that he became known as
“the boarder”—I doubt if he had any other home.",473
1010,"Of theatrical people
there were Gus Waize and Horace O’Donavan and Lester Myer and George
Duckweed and Francis Bull.",473
1011,"Also from New York were the Chromes and the
Backhyssons and the Dennickers and Russel Betty and the Corrigans and
the Kellehers and the Dewars and the Scullys and S. W. Belcher and the
Smirkes and the young Quinns, divorced now, and Henry L. Palmetto, who
killed himself by jumping in front of a subway train in Times Square.",473
1012,Benny McClenahan arrived always with four girls.,474
1013,"They were never quite
the same ones in physical person, but they were so identical one with
another that it inevitably seemed they had been there before.",474
1014,"I have
forgotten their names—Jaqueline, I think, or else Consuela, or Gloria
or Judy or June, and their last names were either the melodious names
of flowers and months or the sterner ones of the great American
capitalists whose cousins, if pressed, they would confess themselves
to be.",474
1015,"In addition to all these I can remember that Faustina O’Brien came
there at least once and the Baedeker girls and young Brewer, who had
his nose shot off in the war, and Mr. Albrucksburger and Miss Haag,
his fiancée, and Ardita Fitz-Peters and Mr. P. Jewett, once head of
the American Legion, and Miss Claudia Hip, with a man reputed to be
her chauffeur, and a prince of something, whom we called Duke, and
whose name, if I ever knew it, I have forgotten.",475
1016,All these people came to Gatsby’s house in the summer.,476
1017,"At nine o’clock, one morning late in July, Gatsby’s gorgeous car
lurched up the rocky drive to my door and gave out a burst of melody
from its three-noted horn.",478
1018,"It was the first time he had called on me, though I had gone to two of
his parties, mounted in his hydroplane, and, at his urgent invitation,
made frequent use of his beach.",479
1019,"“Good morning, old sport.",480
1020,"You’re having lunch with me today and I
thought we’d ride up together.”",480
1021,"He was balancing himself on the dashboard of his car with that
resourcefulness of movement that is so peculiarly American—that comes,
I suppose, with the absence of lifting work in youth and, even more,
with the formless grace of our nervous, sporadic games.",481
1022,"This quality
was continually breaking through his punctilious manner in the shape
of restlessness.",481
1023,"He was never quite still; there was always a tapping
foot somewhere or the impatient opening and closing of a hand.",481
1024,He saw me looking with admiration at his car.,482
1025,"“It’s pretty, isn’t it, old sport?” He jumped off to give me a better
view.",483
1026,“Haven’t you ever seen it before?”,483
1027,I’d seen it.,484
1028,Everybody had seen it.,484
1029,"It was a rich cream colour, bright
with nickel, swollen here and there in its monstrous length with
triumphant hatboxes and supper-boxes and toolboxes, and terraced with
a labyrinth of windshields that mirrored a dozen suns.",484
1030,"Sitting down
behind many layers of glass in a sort of green leather conservatory,
we started to town.",484
1031,"I had talked with him perhaps half a dozen times in the past month and
found, to my disappointment, that he had little to say.",485
1032,"So my first
impression, that he was a person of some undefined consequence, had
gradually faded and he had become simply the proprietor of an
elaborate roadhouse next door.",485
1033,And then came that disconcerting ride.,486
1034,"We hadn’t reached West Egg
village before Gatsby began leaving his elegant sentences unfinished
and slapping himself indecisively on the knee of his caramel-coloured
suit.",486
1035,"“Look here, old sport,” he broke out surprisingly, “what’s your
opinion of me, anyhow?”",487
1036,"A little overwhelmed, I began the generalized evasions which that
question deserves.",488
1037,"“Well, I’m going to tell you something about my life,” he interrupted.",489
1038,"“I don’t want you to get a wrong idea of me from all these stories you
hear.”",489
1039,"So he was aware of the bizarre accusations that flavoured conversation
in his halls.",490
1040,"“I’ll tell you God’s truth.” His right hand suddenly ordered divine
retribution to stand by.",491
1041,"“I am the son of some wealthy people in the
Middle West—all dead now.",491
1042,"I was brought up in America but educated at
Oxford, because all my ancestors have been educated there for many
years.",491
1043,It is a family tradition.”,491
1044,"He looked at me sideways—and I knew why Jordan Baker had believed he
was lying.",492
1045,"He hurried the phrase “educated at Oxford,” or swallowed
it, or choked on it, as though it had bothered him before.",492
1046,"And with
this doubt, his whole statement fell to pieces, and I wondered if
there wasn’t something a little sinister about him, after all.",492
1047,“What part of the Middle West?” I inquired casually.,493
1048,“San Francisco.”,494
1049,“I see.”,495
1050,“My family all died and I came into a good deal of money.”,496
1051,"His voice was solemn, as if the memory of that sudden extinction of a
clan still haunted him.",497
1052,"For a moment I suspected that he was pulling
my leg, but a glance at him convinced me otherwise.",497
1053,"“After that I lived like a young rajah in all the capitals of
Europe—Paris, Venice, Rome—collecting jewels, chiefly rubies, hunting
big game, painting a little, things for myself only, and trying to
forget something very sad that had happened to me long ago.”",498
1054,With an effort I managed to restrain my incredulous laughter.,499
1055,"The very
phrases were worn so threadbare that they evoked no image except that
of a turbaned “character” leaking sawdust at every pore as he pursued
a tiger through the Bois de Boulogne.",499
1056,"“Then came the war, old sport.",500
1057,"It was a great relief, and I tried very
hard to die, but I seemed to bear an enchanted life.",500
1058,"I accepted a
commission as first lieutenant when it began.",500
1059,"In the Argonne Forest I
took the remains of my machine-gun battalion so far forward that there
was a half mile gap on either side of us where the infantry couldn’t
advance.",500
1060,"We stayed there two days and two nights, a hundred and thirty
men with sixteen Lewis guns, and when the infantry came up at last
they found the insignia of three German divisions among the piles of
dead.",500
1061,"I was promoted to be a major, and every Allied government gave
me a decoration—even Montenegro, little Montenegro down on the
Adriatic Sea!”",500
1062,Little Montenegro!,501
1063,"He lifted up the words and nodded at them—with his
smile.",501
1064,"The smile comprehended Montenegro’s troubled history and
sympathized with the brave struggles of the Montenegrin people.",501
1065,"It
appreciated fully the chain of national circumstances which had
elicited this tribute from Montenegro’s warm little heart.",501
1066,"My
incredulity was submerged in fascination now; it was like skimming
hastily through a dozen magazines.",501
1067,"He reached in his pocket, and a piece of metal, slung on a ribbon,
fell into my palm.",502
1068,“That’s the one from Montenegro.”,503
1069,"To my astonishment, the thing had an authentic look.",504
1070,"“Orderi di
Danilo,” ran the circular legend, “Montenegro, Nicolas Rex.”",504
1071,“Turn it.”,505
1072,"“Major Jay Gatsby,” I read, “For Valour Extraordinary.”",506
1073,“Here’s another thing I always carry.,507
1074,A souvenir of Oxford days.,507
1075,"It
was taken in Trinity Quad—the man on my left is now the Earl of
Doncaster.”",507
1076,"It was a photograph of half a dozen young men in blazers loafing in an
archway through which were visible a host of spires.",508
1077,"There was Gatsby,
looking a little, not much, younger—with a cricket bat in his hand.",508
1078,Then it was all true.,509
1079,"I saw the skins of tigers flaming in his palace
on the Grand Canal; I saw him opening a chest of rubies to ease, with
their crimson-lighted depths, the gnawings of his broken heart.",509
1080,"“I’m going to make a big request of you today,” he said, pocketing his
souvenirs with satisfaction, “so I thought you ought to know something
about me.",510
1081,I didn’t want you to think I was just some nobody.,510
1082,"You see,
I usually find myself among strangers because I drift here and there
trying to forget the sad things that happened to me.” He hesitated.",510
1083,“You’ll hear about it this afternoon.”,510
1084,“At lunch?”,511
1085,"“No, this afternoon.",512
1086,"I happened to find out that you’re taking Miss
Baker to tea.”",512
1087,“Do you mean you’re in love with Miss Baker?”,513
1088,"“No, old sport, I’m not.",514
1089,"But Miss Baker has kindly consented to speak
to you about this matter.”",514
1090,"I hadn’t the faintest idea what “this matter” was, but I was more
annoyed than interested.",515
1091,"I hadn’t asked Jordan to tea in order to
discuss Mr. Jay Gatsby.",515
1092,"I was sure the request would be something
utterly fantastic, and for a moment I was sorry I’d ever set foot upon
his overpopulated lawn.",515
1093,He wouldn’t say another word.,516
1094,"His correctness grew on him as we neared
the city.",516
1095,"We passed Port Roosevelt, where there was a glimpse of
red-belted oceangoing ships, and sped along a cobbled slum lined with
the dark, undeserted saloons of the faded-gilt nineteen-hundreds.",516
1096,"Then the valley of ashes opened out on both sides of us, and I had a
glimpse of Mrs. Wilson straining at the garage pump with panting
vitality as we went by.",516
1097,"With fenders spread like wings we scattered light through half
Astoria—only half, for as we twisted among the pillars of the elevated
I heard the familiar “jug-jug-spat!” of a motorcycle, and a frantic
policeman rode alongside.",517
1098,"“All right, old sport,” called Gatsby.",518
1099,We slowed down.,518
1100,"Taking a white
card from his wallet, he waved it before the man’s eyes.",518
1101,"“Right you are,” agreed the policeman, tipping his cap.",519
1102,"“Know you next
time, Mr. Gatsby.",519
1103,Excuse me!”,519
1104,“What was that?” I inquired.,520
1105,“The picture of Oxford?”,520
1106,"“I was able to do the commissioner a favour once, and he sends me a
Christmas card every year.”",521
1107,"Over the great bridge, with the sunlight through the girders making a
constant flicker upon the moving cars, with the city rising up across
the river in white heaps and sugar lumps all built with a wish out of
nonolfactory money.",522
1108,"The city seen from the Queensboro Bridge is always
the city seen for the first time, in its first wild promise of all the
mystery and the beauty in the world.",522
1109,"A dead man passed us in a hearse heaped with blooms, followed by two
carriages with drawn blinds, and by more cheerful carriages for
friends.",523
1110,"The friends looked out at us with the tragic eyes and short
upper lips of southeastern Europe, and I was glad that the sight of
Gatsby’s splendid car was included in their sombre holiday.",523
1111,"As we
crossed Blackwell’s Island a limousine passed us, driven by a white
chauffeur, in which sat three modish negroes, two bucks and a girl.",523
1112,"I
laughed aloud as the yolks of their eyeballs rolled toward us in
haughty rivalry.",523
1113,"“Anything can happen now that we’ve slid over this bridge,” I thought;
“anything at all …”",524
1114,"Even Gatsby could happen, without any particular wonder.",525
1115,Roaring noon.,527
1116,"In a well-fanned Forty-second Street cellar I met Gatsby
for lunch.",527
1117,"Blinking away the brightness of the street outside, my eyes
picked him out obscurely in the anteroom, talking to another man.",527
1118,“Mr.,528
1119,"Carraway, this is my friend Mr. Wolfshiem.”",528
1120,"A small, flat-nosed Jew raised his large head and regarded me with two
fine growths of hair which luxuriated in either nostril.",529
1121,"After a
moment I discovered his tiny eyes in the half-darkness.",529
1122,"“—So I took one look at him,” said Mr. Wolfshiem, shaking my hand
earnestly, “and what do you think I did?”",530
1123,“What?” I inquired politely.,531
1124,"But evidently he was not addressing me, for he dropped my hand and
covered Gatsby with his expressive nose.",532
1125,"“I handed the money to Katspaugh and I said: ‘All right, Katspaugh,
don’t pay him a penny till he shuts his mouth.’ He shut it then and
there.”",533
1126,"Gatsby took an arm of each of us and moved forward into the
restaurant, whereupon Mr. Wolfshiem swallowed a new sentence he was
starting and lapsed into a somnambulatory abstraction.",534
1127,“Highballs?” asked the head waiter.,535
1128,"“This is a nice restaurant here,” said Mr. Wolfshiem, looking at the
presbyterian nymphs on the ceiling.",536
1129,"“But I like across the street
better!”",536
1130,"“Yes, highballs,” agreed Gatsby, and then to Mr. Wolfshiem: “It’s too
hot over there.”",537
1131,"“Hot and small—yes,” said Mr. Wolfshiem, “but full of memories.”",538
1132,“What place is that?” I asked.,539
1133,“The old Metropole.”,540
1134,"“The old Metropole,” brooded Mr. Wolfshiem gloomily.",541
1135,"“Filled with
faces dead and gone.",541
1136,Filled with friends gone now forever.,541
1137,"I can’t
forget so long as I live the night they shot Rosy Rosenthal there.",541
1138,"It
was six of us at the table, and Rosy had eat and drunk a lot all
evening.",541
1139,"When it was almost morning the waiter came up to him with a
funny look and says somebody wants to speak to him outside.",541
1140,"‘All
right,’ says Rosy, and begins to get up, and I pulled him down in his
chair.",541
1141,"“ ‘Let the bastards come in here if they want you, Rosy, but don’t
you, so help me, move outside this room.’",542
1142,"“It was four o’clock in the morning then, and if we’d of raised the
blinds we’d of seen daylight.”",543
1143,“Did he go?” I asked innocently.,544
1144,“Sure he went.” Mr. Wolfshiem’s nose flashed at me indignantly.,545
1145,"“He
turned around in the door and says: ‘Don’t let that waiter take away
my coffee!’ Then he went out on the sidewalk, and they shot him three
times in his full belly and drove away.”",545
1146,"“Four of them were electrocuted,” I said, remembering.",546
1147,"“Five, with Becker.” His nostrils turned to me in an interested way.",547
1148,“I understand you’re looking for a business gonnegtion.”,547
1149,The juxtaposition of these two remarks was startling.,548
1150,"Gatsby answered
for me:",548
1151,"“Oh, no,” he exclaimed, “this isn’t the man.”",549
1152,“No?” Mr. Wolfshiem seemed disappointed.,550
1153,“This is just a friend.,551
1154,"I told you we’d talk about that some other
time.”",551
1155,"“I beg your pardon,” said Mr. Wolfshiem, “I had a wrong man.”",552
1156,"A succulent hash arrived, and Mr. Wolfshiem, forgetting the more
sentimental atmosphere of the old Metropole, began to eat with
ferocious delicacy.",553
1157,"His eyes, meanwhile, roved very slowly all around
the room—he completed the arc by turning to inspect the people
directly behind.",553
1158,"I think that, except for my presence, he would have
taken one short glance beneath our own table.",553
1159,"“Look here, old sport,” said Gatsby, leaning toward me, “I’m afraid I
made you a little angry this morning in the car.”",554
1160,"There was the smile again, but this time I held out against it.",555
1161,"“I don’t like mysteries,” I answered, “and I don’t understand why you
won’t come out frankly and tell me what you want.",556
